"filename", "language", "Python", "Markdown", "JSON", "TypeScript JSX", "JavaScript", "pip requirements", "HTML", "YAML", "PowerShell", "Shell Script", "MS SQL", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\familles.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 18, 143
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\import_referentiel.py", "Python", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 51, 521
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\liaison_telegram.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 30, 126
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\metriques_routage.py", "Python", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 35, 343
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\oauth_google.py", "Python", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 68, 363
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\parcelles.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 105
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\permissions.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 16, 90
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\plan.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 33
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\potager_actif.py", "Python", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 45, 266
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\potagers.py", "Python", 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 116, 685
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\questions.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 10, 95
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\rapport_couverture.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 37, 263
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\referentiel_sources.py", "Python", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 31, 299
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\reponses_chiffrees.py", "Python", 847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 350, 148, 1345
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\retours.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 77
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\stats.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 54
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\stock.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 29, 80
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\telegram_notify.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 73
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\BUG_Correction_variete_absente_recherche_et_affichage.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 77
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-006_renommer-parcelle.md", "Markdown", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-007_echapper-caracteres-markdown-bot.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-008_commande-version-bot.md", "Markdown", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-009_supprimer-parcelle-reaffecter-evenements.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 85
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-010_ameliorer-classification-intent.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-011_validation-post-parsing-actions.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-012_agent-sql-reponses-interrogation.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-013_tests-validation-agent-sql.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-014_stats-semis-correction-affichage.md", "Markdown", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 130
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-015_environnement-dev-dedie-serveur.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 99
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-016_semantique-mise-en-godet-plants.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-017_deduction-stock-semis-mise-en-godet.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-018_pepiniere-par-variete-stats-culture.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-019_selection-variete-mise-en-godet-ambigue.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-020_tracabilite-lot-semis-godet.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-021_confirmation-avant-enregistrement-action.md", "Markdown", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-022_deduction-stock-godet-a-plantation.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 55
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-023_dashboard-visualisation-potager.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-024_plan-occupation-parcelles-frontend.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-025_stocks-cultures-frontend.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-026_pepiniere-godets-frontend.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-027_historique-evenements-frontend.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 85
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-028_graphiques-evolution-recoltes-frontend.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-029_chainagecomplet-cycle-vie-plants.md", "Markdown", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 98
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-030_date-reference-backend-endpoints.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 90
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-031_date-reference-frontend-filtres.md", "Markdown", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 113
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-032_vente-plants-prix-unitaire.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-033_saisie-guidee-arrosage-culture.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 61
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\backlog\US-034_gestion-reservoir-eau-1000L.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 71
